,sex,age
1407,F,2
1408,F,15
1409,M,35
1410,F,30
1411,M,4
1412,M,0
1413,F,50
1414,M,46
1415,F,42
1416,M,18
1417,F,50
1418,F,16
1419,F,14
1420,M,35
1421,F,30
1422,M,70
1423,F,9
1424,M,7
1425,M,5
1426,F,0
1427,M,60
1428,F,56
1429,M,16
1430,M,7
1431,F,9
13005,F,14
13051,F,0
13091,F,17
13139,M,0
13191,M,0
13402,F,18
13415,F,0
13639,M,18
13650,F,16
